threshold,auc_I,auc_II,mean_conf_correct,mean_conf_incorrect,conf_var_correct,conf_var_incorrect,day,set,subject
47.48743719,0.808383518,0.605042017,3.2667,3,0.32889,0.4,1,2,1
45.9798995,0.88121225,0.663157895,3.8824,3.6667,0.10381,0.22222,1,2,1
45.22613065,0.9262117,0.7125,3.8333,3.5,0.13889,0.25,1,2,1
45.72864322,0.8675,0.601851852,3.625,3.5,0.23438,0.25,1,2,1
44.97487437,0.931533597,0.778947368,3.9412,3.3333,0.055363,0.22222,1,2,1
43.46733668,0.948800165,0.76875,4,3.5,0,0.25,1,2,1
46.48241206,0.639375063,0.518518519,3.6923,3.7143,0.21302,0.20408,1,2,1
43.96984925,0.89005,0.684210526,3.9412,3.6667,0.055363,0.22222,1,2,1
43.46733668,0.926423717,0.757894737,3.8824,3.3333,0.10381,0.22222,1,2,1
42.96482412,0.919335785,0.663157895,3.8824,3.6667,0.10381,0.22222,1,2,1
44.22110553,0.86414107,0.773109244,3.6667,3,0.22222,0,1,2,1
43.71859296,0.74625,0.487394958,3.2667,3.4,0.19556,0.24,1,2,1
52.51256281,0.64405,0.571428571,3.1667,3,0.30556,0,1,2,1
51.50753769,0.695118873,0.614814815,3.5385,3.2857,0.24852,0.20408,1,2,1
56.28140704,0.6160415,0.690972222,3.6,3.1,0.24,0.09,1,2,1
53.76884422,0.511263895,0.493006993,3.2727,3.3333,0.38017,0.22222,1,2,1
53.76884422,0.563182098,0.517482517,3.3636,3.3333,0.2314,0.22222,1,2,1
50,0.83993076,0.655462185,3.5333,3.2,0.24889,0.16,1,2,1
56.28140704,0.53469692,0.576388889,3.4,3.2,0.24,0.16,1,2,1
51.50753769,0.713383085,0.644444444,3.6154,3.2857,0.23669,0.20408,1,2,1
51.50753769,0.713859204,0.718518519,3.5385,3,0.24852,0,1,2,1
52.51256281,0.677878984,0.621428571,3.4167,3.125,0.24306,0.10938,1,2,1
51.50753769,0.636010379,0.496296296,3.2308,3.2857,0.17751,0.20408,1,2,1
51.50753769,0.638,0.496296296,3.2308,3.2857,0.17751,0.20408,1,2,1
53.76884422,0.639091174,0.587412587,3,2.7778,0,0.17284,1,1,2
53.76884422,0.5295,0.482517483,2.7273,2.7778,0.19835,0.17284,1,1,2
48.74371859,0.89600918,0.647368421,3.0588,2.6667,0.055363,0.22222,1,1,2
50,0.703788114,0.445378151,2.8,3,0.16,0,1,1,2
50,0.782373955,0.588235294,3,2.8,0,0.16,1,1,2
47.98994975,0.93205,0.66875,3,2.5,0,0.25,1,1,2
50,0.70416683,0.515625,3,3,0,0,1,1,2
48.74371859,0.84525817,0.592592593,2.75,2.5,0.1875,0.25,1,1,2
47.2361809,0.936464195,0.66875,3,2.5,0,0.25,1,1,2
46.48241206,0.88791683,0.55,3,3,0,0,1,1,2
49.74874372,0.726,0.637037037,2.9231,2.5714,0.071006,0.2449,1,1,2
48.74371859,0.75277802,0.57421875,3,2.8333,0,0.13889,1,1,2
48.24120603,0.838383465,0.557894737,3.0588,3,0.055363,0,1,1,2
42.21105528,0.9802,0.613636364,3,NaN,0,NaN,1,1,2
29.14572864,0.81025218,0.740740741,2.9231,2.2857,0.071006,0.20408,1,1,2
29.89949749,0.748383375,0.513888889,2.75,2.75,0.1875,0.1875,1,1,2
27.13567839,0.9802,0.73015873,3,2,0,0,1,1,2
29.64824121,0.76272753,0.6328125,3,2.6667,0,0.22222,1,1,2
28.3919598,0.79125,0.50462963,2.9375,3,0.058594,0,1,1,2
31.40703518,0.741666688,0.596428571,2.75,2.5,0.1875,0.25,1,1,2
28.89447236,0.745,0.521008403,3,3,0,0,1,1,2
30.40201005,0.804335928,0.60546875,2.9286,2.6667,0.066327,0.22222,1,1,2
31.40703518,0.611190442,0.496296296,2.6923,2.7143,0.21302,0.20408,1,1,2
30.65326633,0.7745,0.481481481,2.875,3,0.23438,0,1,1,2
42.71356784,0.984792855,0.795454545,3.8,NaN,0.36,NaN,1,2,3
22.11055276,0.8583835,0.705882353,2.2667,1,1.3956,0,1,2,3
42.71356784,0.45916683,0.51048951,1,1,0,0,1,2,3
21.6080402,0.85146377,0.389473684,1,1,0,0,1,2,3
21.6080402,0.92385,0.40625,1.1667,1,0.13889,0,1,2,3
24.3718593,0.681060365,0.555555556,1.2308,1,0.17751,0,1,2,3
42.71356784,0.627716535,0.552447552,1.1111,1,0.098765,0,1,2,3
23.36683417,0.784897655,0.439814815,1.0625,1,0.058594,0,1,2,3
25.12562814,0.720908825,0.5078125,1.1429,1,0.12245,0,1,2,3
25.12562814,0.918224898,0.657894737,1.8824,1,0.57439,0,1,2,3
25.37688442,0.75355,0.462184874,1.0667,1,0.062222,0,1,2,3
21.85929648,0.949139925,0.317460317,1.1053,1,0.094183,0,1,2,3
45.9798995,0.98403889,0.849206349,3.7368,1,0.29917,0,1,2,3
43.2160804,0.8475,0.630252101,3.2,2.8,1.2267,0.96,1,2,3
40.20100503,0.94366644,0.5,3.0526,4,1.313,0,1,2,3
42.96482412,0.92813084,0.8671875,3.4286,1,1.2449,0,1,2,3
36.93467337,0.98333182,0.636363636,3.1,NaN,1.19,NaN,1,2,3
38.44221106,0.978909481,0.80952381,3.5263,1,0.77562,0,1,2,3
38.94472362,0.877966688,0.631578947,3.0588,2.3333,1.4671,1.5556,1,2,3
36.93467337,0.97313032,0.738095238,3.1053,1,1.1468,0,1,2,3
31.40703518,0.9851,0.761363636,3.65,NaN,0.6275,NaN,1,2,3
20.60301508,0.922808393,0.490740741,2.25,2,1.4375,0,1,2,3
23.86934673,0.704006214,0.55,1.5833,1.125,1.2431,0.10938,1,2,3
