subject,pre_training_trainedset,post_training_trainedset,pre_training_untrainedset,post_training_untrainedset,TI
1,0.108264,0.07272,0.0853453,0.0753623,0.35628
2,0.030437,0.021537,0.0437173,0.0212811,1.7551
3,0.061151,0.039198,0.0565076,0.0347034,1.07481
4,0.069821,0.030358,0.0835554,0.0444085,0.82893
5,0.071705,0.06071,0.0917081,0.0691119,1.60695
6,0.100915,0.043079,0.0899932,0.0493592,0.78784
7,0.039397,0.024408,0.0584547,0.0327928,1.15393
8,0.063652,0.066522,0.0736037,0.0603933,-3.97991
9,0.118031,0.07334,0.1105153,0.0649354,1.08923
10,0.05499,0.062975,0.0712232,0.0686758,-0.24633
11,0.126688,0.088905,0.1269472,0.0795311,1.25242
12,0.09858,0.1122,0.0955849,0.0850686,-0.79631
13,0.152406,0.099462,0.1356853,0.1041679,0.66866
14,0.125546,0.213514,0.106778,0.1756016,0.91989
15,0.238935,0.527935,0.2227298,0.4147819,0.71289
16,0.112013,0.077974,0.1344024,0.1146919,0.4826
17,0.126549,0.046464,0.1139586,0.0399301,1.0265
18,0.103718,0.066128,0.0786196,0.0572616,0.74957
19,0.202237,0.086054,0.1923154,0.1004544,0.83145
20,0.107343,0.096086,0.1158208,0.0912252,2.02491
